slug,address,land_m2,internal_living_area_m2,internal_area_confidence,garage_or_car_storage_m2,internal_area_as_percent_of_land,bedrooms,master_size,master_band,secondary_bedroom_sizes,secondary_bedroom_band,study_or_retreat_size,study_or_retreat_band,primary_living_size,primary_living_band,secondary_living_size,secondary_living_band,dining_size,dining_band,ensuite_band,main_bathroom_band,kitchen_storage_band,outdoor_space_band,space_takeaway
1-buick-crescent-mill-park,"1 Buick Crescent, Mill Park VIC 3082",303,130-145,estimate from floorplan,20.4,43-48%,3,4.6 x 3.3 = 15.2m2,large,3.7 x 2.7 = 10.0m2; 3.0 x 3.4 = 10.2m2,mid,5.1 x 4.8 = 24.5m2,extra-large,3.6 x 5.0 = 18.0m2,mid-large,,,3.2 x 5.0 = 16.0m2,large,compact,mid,large,large covered alfresco,Best dedicated WFH/retreat; compact land but spacious usable layout because of vertical floor area and covered outdoor zone.
31-st-hellier-street-heidelberg-heights,"31 St Hellier Street, Heidelberg Heights VIC 3081",303,105-120; 166 reported floor area,estimate plus reported listing floor area,31.2,35-40% internal estimate; 55% if using reported 166m2,3,3.1 x 3.5 = 10.9m2,mid,3.6 x 2.7 = 9.7m2; 2.5 x 3.0 = 7.5m2,small-to-mid,No dedicated study; bedroom 3 = 7.5m2 if used as office,small,3.9 x 5.4 = 21.1m2,large,,,3.2 x 4.1 = 13.1m2,mid,compact,mid,large,mid garden/deck; more upkeep,Good single-level living and kitchen; weakest for study and bedroom spaciousness.
10-northbridge-road-highton,"10 Northbridge Road, Highton VIC 3216",322,140-155,estimate from floorplan,34.2,43-48%,4,3.7 x 3.8 = 14.1m2,large,3.0 x 3.0 = 9.0m2 x3,mid,Retreat 3.7 x 2.9 = 10.7m2 plus study nook 2.0 x 3.0 = 6.0m2,large combined,4.0 x 3.9 = 15.6m2,mid,Retreat 10.7m2,mid,3.5 x 2.9 = 10.2m2,mid,compact-mid,mid,large,small low-maintenance courtyard,Best balanced newer layout: 4 bedrooms plus real study/retreat on compact land.
23-arbour-grove-belmont,"23 Arbour Grove, Belmont VIC 3216",239,135-150,estimate from floorplan,21,56-63%,4,4.0 x 4.2 = 16.8m2,large,3.5 x 3.2 = 11.2m2; 3.5 x 3.7 = 13.0m2; 4.3 x 3.0 = 12.9m2,mid-large,Upstairs lounge 3.6 x 3.7 = 13.3m2; bedroom 4 can also be office,large,Family/living approx 5.2 x 4.7 = 24.4m2,large,Upstairs lounge 13.3m2,mid-large,Integrated with family/living,mid-large,mid,mid-large,large,small low-maintenance alfresco/courtyard,"Most room-efficient property: smallest land, but strong master, secondary bedrooms, three bathrooms and usable retreat."
44-waurnvale-drive-belmont,"44 Waurnvale Drive, Belmont VIC 3216",653,150,floorplan stated,22,23%,3,3.5 x 3.3 = 11.6m2,mid,3.5 x 3.3 = 11.6m2; bedroom 3/office 3.0 x 4.3 = 12.9m2,mid-large,Bedroom 3/office 3.0 x 4.3 = 12.9m2,large,Lounge 4.2 x 6.0 = 25.2m2,large,Family 4.2 x 5.0 = 21.0m2,large,2.0 x 4.0 = 8.0m2,small-mid,compact,mid-large,mid-large,large block; more maintenance,"Biggest internal living zones and land, but only 3 bedrooms and lower built-area density."
1-cardinal-close-mill-park,"1 Cardinal Close, Mill Park VIC 3082",801,146 reported; 125-140 internal living estimate,reported floor area plus room dimensions from floorplan,0,18% reported building coverage; 16-18% internal estimate,3,3.4 x 3.8 = 12.9m2,mid,3.4 x 2.8 = 9.5m2; 3.4 x 2.8 = 9.5m2,mid,No dedicated study; bedroom 2 or 3 would need to become office,small compromise,Dining/living 7.3 x 3.6 = 26.3m2,large,Family/meals 4.5 x 2.8 = 12.6m2,small-mid,Family/meals integrated with kitchen,mid,compact,mid,mid-large,large lawn plus covered side verandah; higher maintenance,"Good single-level living area and kitchen, but the 801m2 block is maintenance-heavy and the floorplan lacks a true study."
11-archer-place-mill-park,"11 Archer Place, Mill Park VIC 3082",697,155-175,estimate from measured floorplan rooms,55,22-25%,3,approx 4.5 x 3.8 = 17.1m2,large,Two secondary bedrooms appear mid-sized,mid,Study 3.6 x 2.9 = 10.4m2,large,Living 6.8 x 4.1 = 27.9m2,large,Family/rumpus 6.6 x 3.6 = 23.8m2,large,Dining 2.8 x 4.4 = 12.3m2,mid,compact,mid,mid-large but dated,large covered pergola plus large lawn,"Excellent internal spread for WFH and multiple living zones, but much of the total value is land and garden maintenance."
2-hartley-court-mill-park,"2 Hartley Court, Mill Park VIC 3082",660,165-185,estimate from measured floorplan rooms,32,25-28%,4,3.7 x 3.9 = 14.4m2,large,3.3 x 3.6 = 11.9m2; 3.2 x 3.4 = 10.9m2; 3.0 x 3.4 = 10.2m2,mid-large,Upstairs retreat 3.6 x 3.4 = 12.2m2; bedroom 4 can work as office,large,Family 6.3 x 3.9 = 24.6m2,large,Lounge 3.7 x 4.3 = 15.9m2,mid-large,Meals 3.2 x 3.5 = 11.2m2,mid,mid,mid,large,large covered alfresco plus lawn,"Best new-batch layout fit: genuine 4 bedrooms, retreat, two living zones and good kitchen; price and yard burden are the checks."
18-streeton-circuit-mill-park,"18 Streeton Circuit, Mill Park VIC 3082",603,125-140,estimate from measured floorplan rooms,0,21-23%,4,3.5 x 3.6 = 12.6m2,mid,2.7 x 4.1 = 11.1m2; 3.0 x 3.0 = 9.0m2; 2.6 x 2.7 = 7.0m2,small-to-mid,Bedroom 4 is the realistic office option,small compromise,Family 3.6 x 6.2 = 22.3m2,large,Lounge 5.1 x 3.5 = 17.9m2,mid-large,Integrated kitchen/meals,mid,compact,mid,mid,large alfresco plus large lawn,"Functional 4-bed family plan at a better price point, but room sizes and older yard-heavy feel are materially weaker than the best-fit homes."
5-berala-place-mill-park,"5 Berala Place, Mill Park VIC 3082",575,145-160,estimate from measured floorplan rooms,0,25-28%,4,3.3 x 3.0 = 9.9m2,mid,2.6 x 3.0 = 7.8m2; 2.6 x 3.0 = 7.8m2; 3.2 x 3.0 = 9.6m2,small-to-mid,Study 2.8 x 2.7 = 7.6m2,mid,Lounge/dining 7.9 x 4.1 = 32.4m2,large,Living 5.3 x 2.9 = 15.4m2,mid,Integrated with lounge/dining,large,compact,mid,mid,large pergola/lawn,"Useful sold comp: dedicated study and good living spread, but bedrooms are not generous and the larger block carries maintenance."
