slug,address,suburb,price_guide,sale_method,price_lens,fair_value_estimate,likely_transaction_range,price_risk_score,affordability_read,bedrooms,bathrooms,car_spaces,land_m2,estimated_internal_area_m2,study_score,room_spaciousness_score,ensuite_score,kitchen_storage_score,shared_bathroom_score,low_maintenance_score,light_orientation_score,overall_fit_score,in_person_visited,in_person_overall_score,in_person_price_ceiling,status,next_action,assessment_layer,legal_risk_score,contract_watchpoints,pre_visit_confidence,public_listing_url
1-buick-crescent-mill-park,"1 Buick Crescent, Mill Park VIC 3082",Mill Park,740000-790000,Auction campaign,Benchmark from inspected target; comfortable only if it stays near low-$800s,805000-840000,790000-850000,8,Inside FHBG and close to comfort band; do not chase if competition moves it materially above $830k,3,2,3,303,130-145 internal; 20.4 garage; 40-55 covered alfresco estimate,10,8,6,8,8,9,8,82,2026-05-02,85,830000,ARCHIVED BENCHMARK - mostly no after Geelong shortlist,Keep as earlier benchmark only. Current strategy has shifted to Highton/Fyansford shortlist or Armstrong Creek build fallback.,AI + in-person,8,Existing assessed property; keep Buick as benchmark for WIR/laundry/study/covered alfresco,high,https://www.realestate.com.au/property-house-vic-mill+park-151041872
31-st-hellier-street-heidelberg-heights,"31 St Hellier Street, Heidelberg Heights VIC 3081",Heidelberg Heights,840000-880000,Sold auction,"Observed comp: sold 2 May 2026 at $997k, guide-top plus about 13%",950000-1000000,997000 observed,2,Outside practical affordability and above the FHBG hard cap if repeated; use only as auction-uplift calibration,3,2,2,303,105-120 internal estimate; 166 reported floor area; 31.2 garage,5,6,6,9,8,7,8,76,2026-05-02,65,800000,ARCHIVED COMP - sold,Use only as historical auction/sold comp.,AI + in-person,8,Sold comp only; no longer active target,high,https://www.realestate.com.au/property-house-vic-heidelberg+heights-150808984
10-northbridge-road-highton,"10 Northbridge Road, Highton VIC 3216",Highton,775000-795000,Private sale,Direct comp — sold under unconditional offer at $795k before 9 May inspection could proceed,790000-830000,795000 confirmed,2,SOLD — use as comp only. $795k unconditional = upper bound for 11 Northbridge pricing.,4,2,2,322,140-155 internal estimate from floorplan; 34m2 garage,9,8,7,8,8,9,9,86,,,,ARCHIVED COMP - sold,Use as Highton price comp only; already sold/under offer and not active.,AI pre-visit with saved photos/floorplan,7,Covenant AJ739795K; GRZ1 plus RXO/DDO13/DDO14/DPO6 overlays; Barwon Water sewer main shown on plan,high,https://www.domain.com.au/10-northbridge-road-highton-vic-3216-2020803223
23-arbour-grove-belmont,"23 Arbour Grove, Belmont VIC 3216",Belmont,779000-829000,Private/agent campaign,Good new-home utility but only compelling below $750k because of title/common-property concerns,740000-800000,750000-830000,6,REJECTED in person — character and light failed. Would only reconsider below $720k with confirmed grant eligibility.,4,3,1,239,135-150 internal estimate from floorplan; 21m2 oversized single garage,8,8,8,8,9,9,8,84,2026-05-09,38,0,ARCHIVED - no after 13 May planning,Do not pursue. Kept only as narrow-lot/newer-stock calibration.,AI + in-person (9 May 2026),4,Scanned contract; plan shows Common Property No. 1; telephone services marked not connected; developer/corporate vendor; prior occupancy uncertain (affects FHOG $20k).,high-for-visuals-medium-overall,https://www.realestate.com.au/property-house-vic-belmont-149793436
44-waurnvale-drive-belmont,"44 Waurnvale Drive, Belmont VIC 3216",Belmont,779000-799000,Private/agent campaign,Value benchmark; flip-renovation risk is the gating question; split-system only heating is a functional gap,755000-785000,760000-800000,7,Workable if bought at $760-765k and B&P returns clean; walk away above $770k,3,2,2,653,150 ground floor plus 22m2 garage per floorplan,8,6,6,6,8,7,8,52,2026-05-09,52,765000,ARCHIVED - no after 13 May planning,Do not pursue. Previous flip/waterproofing concerns remain useful only as calibration.,AI + in-person (9 May 2026),8,"No owners corporation; GRZ4 no overlays; owner-builder report (Jan 2026) found no defects for wet-area works — but this is the 137B report, not a full B&P. Flip hypothesis: bought Sept 2025, renovated Jan 2026, listed May 2026. Seller story inconsistent with 8-month cycle.",high,https://www.realestate.com.au/property-house-vic-belmont-150315788
1-cardinal-close-mill-park,"1 Cardinal Close, Mill Park VIC 3082",Mill Park,695000-764500,Auction campaign,Low guide but land-heavy older stock; should only win on price,730000-780000,740000-810000,8,Inside comfort band if it clears around low-to-mid $700s; not worth stretching because fit is weaker than Buick,3,2,2,801,146m2 reported floor area; 125-140m2 internal living estimate from floorplan,5,6,5,7,8,3,6,69,,,,ARCHIVED - not in current shortlist,Keep only as older Mill Park exploratory comparison unless the search returns to Mill Park.,AI pre-visit with saved photos/floorplan,6,"No contract reviewed yet; property.com.au shows no bushfire/flood/heritage overlays, but Section 32 still needed for title, easements, renovations and permits.",high-for-visuals-medium-overall,https://www.meprop.com.au/property?property_id=1757899
11-archer-place-mill-park,"11 Archer Place, Mill Park VIC 3082",Mill Park,850000-925000,EOI / private campaign,Strong family layout but guide already sits above comfort; EOI can still transact above guide high,890000-950000,900000-980000,4,"Likely inside FHBG only if disciplined below $950k, but above the $830k-$850k comfort zone and weakens upgrade buffer",3,2,2,697,155-175 internal estimate from floorplan plus 55m2 double garage,10,8,6,7,8,4,7,78,,,900000,ARCHIVED - not in current shortlist,Keep only as older Mill Park exploratory comparison unless the search returns to Mill Park.,AI pre-visit with saved photos/floorplan and price lens,6,"No contract reviewed yet. Need Section 32 for easements, permits, roof/heating/cooling age and any pool/spa/shed structures.",high,https://www.jelliscraig.com.au/property-details-11-Archer-Place-Mill-Park/1898991
2-hartley-court-mill-park,"2 Hartley Court, Mill Park VIC 3082",Mill Park,800000-880000,Auction campaign,"Best layout of the new batch, but auction competition can move it toward or above the comfort ceiling",840000-910000,860000-950000,5,Potentially workable if below high-$800s; becomes uncomfortable if auction pushes into low-$900s,4,2,2,660,165-185 internal estimate from floorplan plus 32m2 double garage,8,8,7,8,8,5,7,82,,,880000,ARCHIVED - no after 13 May planning,Do not pursue under current brief.,AI pre-visit with saved photos/floorplan and price lens,6,"No contract reviewed yet. Need Section 32/title, easements, renovation permits and any pool/spa or deck/pergola approvals.",high-for-visuals-medium-overall,https://realsearch.com.au/house-2-hartley-court-mill-park-vic-3082
18-streeton-circuit-mill-park,"18 Streeton Circuit, Mill Park VIC 3082",Mill Park,720000-790000,Auction campaign,Comparable older Mill Park value option; 4th bedroom helps but layout/condition are more basic,760000-820000,780000-860000,7,Could sit within comfort if competition stays disciplined; do not pay Buick-level money for the older/yard-heavy tradeoff,4,2,2,603,125-140 internal estimate from floorplan,6,6,5,7,8,4,6,72,,,810000,ARCHIVED - no after 13 May planning,Do not pursue under current brief.,AI pre-visit with saved photos/floorplan and price lens,6,"No contract reviewed yet. Need Section 32 for easements, renovations and roof/drainage age.",high-for-visuals-medium-overall,https://realsearch.com.au/house-18-streeton-circuit-mill-park-vic-3082
5-berala-place-mill-park,"5 Berala Place, Mill Park VIC 3082",Mill Park,sold-820000,Sold 1 May 2026,Direct Mill Park comp: 4 bed / 2 bath / study on 575m2 sold for $820k,805000-835000,820000 observed,9,"Excellent affordability comp, but not active. Use it to discipline offers on older Mill Park family homes.",4,2,2,575,145-160 internal estimate from floorplan,9,7,6,7,8,5,7,76,,,,ARCHIVED COMP - sold Mill Park benchmark,Use only as historical comp; not an active target.,AI assessment of sold listing/photos/floorplan,7,"Sold listing only; no contract reviewed. Use as price benchmark, not purchase target.",high,https://www.barryplant.com.au/sold-properties/5-berala-place-mill-park-vic-3082-201979/
